epoch	training_loss	training_acc	valid_loss	valid_acc
1	0.5835652203175055	0.8705878189702873	1.0654653385605766	0.8196563370141764
2	0.349077737886241	0.9132233531932415	1.0160725559566506	0.827310937715054
3	0.26879856575614697	0.9307240931142309	0.9923800423026833	0.83261516309699
4	0.22419994488383233	0.9408288401899344	1.012575627612675	0.833038654145448
5	0.1921461571352975	0.9482956080863713	1.034402958676507	0.8334833197463288
6	0.1640264629876469	0.9547200525022197	1.0910383307929263	0.8341820799762845
7	0.13936428340405424	0.9605686453655209	1.1595564478916796	0.8338538744137296
8	0.11734832188178065	0.9662177812664873	1.1796104149160336	0.8364477570855346
9	0.09901908774721435	0.9707538186357143	1.2334255189299566	0.8355584258837728
10	0.08407014555253774	0.974865205698035	1.3010530350315006	0.8366912644383979
11	0.07188924421470833	0.9783685707300124	1.3643555991988099	0.835420791293024
12	0.06350959690708818	0.98060441893683	1.3217642387576403	0.8350290620732004
13	0.05533550225435177	0.9831072821093538	1.4603473832504712	0.8353890294643896
14	0.052628790007552335	0.9838472030986604	1.5079059567813498	0.8342773654621876
15	0.046310747748445305	0.9856873544285879	1.539394591554051	0.833769176204038
