epoch	training_loss	training_acc	valid_loss	valid_acc
1	0.5772401873171932	0.8711282829972591	0.9858027323715246	0.8265698283802526
2	0.3541533562975094	0.9118593249346939	1.0477580682847145	0.826082813674526
3	0.2768640929794441	0.92835634594845	1.028655652484789	0.82888844187056
4	0.22797757214676445	0.9396803541326195	1.029537321838968	0.8299895185965507
5	0.19392587899158117	0.9474913461414728	1.106117565190156	0.8370300572771643
6	0.16264359821765698	0.955041757280179	1.1348837547098645	0.8363312970472087
7	0.13804654503200842	0.9605075214577087	1.216568302439554	0.8371571045917017
8	0.11619256695017507	0.9659282469663238	1.354904753645534	0.8352090457687951
9	0.09981031216703726	0.9705929662467346	1.2702159588847313	0.8420801880300255
10	0.0872894156857913	0.9739933857497651	1.327322980916104	0.8385652123278244
11	0.07612358456832334	0.9769562867547709	1.4932680969037455	0.8370829936582216
12	0.06874711886200759	0.9789669416170168	1.4207320489389992	0.8385757996040358
13	0.061634455816004005	0.9808456975202995	1.4599583461493693	0.8394121944247404
14	0.05873624464155342	0.9819523619564797	1.4953140987594724	0.8402697637978677
15	0.05412166033835291	0.982994685437068	1.3844818896928406	0.8431495029273819
